2025-07-30 14:22:51.423+07:00 | main | INFO  | Besu | Starting Besu
2025-07-30 14:22:51.668+07:00 | main | WARN  | Besu | Forcing --bonsai-limit-trie-logs-enabled=false, since it cannot be enabled with --sync-mode=FULL and --data-storage-format=BONSAI.
2025-07-30 14:22:51.669+07:00 | main | WARN  | Besu | Permissions are disabled. Cannot enable PERM APIs when not using Permissions.
2025-07-30 14:22:51.669+07:00 | main | INFO  | Besu | Connecting to 0 static nodes.
2025-07-30 14:22:51.675+07:00 | main | WARN  | Besu | Forcing price bump for transaction replacement to 0, since min-gas-price is set to 0
2025-07-30 14:22:51.676+07:00 | main | WARN  | Besu | Forcing tx-pool-min-gas-price=0, since it cannot be greater than the value of min-gas-price
2025-07-30 14:22:51.773+07:00 | main | INFO  | Besu | 
####################################################################################################
#                                                                                                  #
# Besu version besu/v25.4.1/linux-x86_64/oracle-java-21                                            #
#                                                                                                  #
# Configuration:                                                                                   #
# Network: Custom genesis file                                                                     #
# /home/daffa/Documents/tesis-emisi-karbon/QBFT-Network/Node-3/../genesis.json                     #
# Network Id: 1337                                                                                 #
# Data storage: Bonsai                                                                             #
# Sync mode: Full                                                                                  #
# Sync min peers: 5                                                                                #
# RPC HTTP APIs: EEA,WEB3,ETH,NET,TRACE,DEBUG,ADMIN,TXPOOL,PERM,QBFT                               #
# RPC HTTP port: 8547                                                                              #
# Using LAYERED transaction pool implementation                                                    #
# Using STACKED worldstate update mode                                                             #
#                                                                                                  #
# Host:                                                                                            #
# Java: oracle-java-21                                                                             #
# Maximum heap size: 7.80 GB                                                                       #
# OS: linux-x86_64                                                                                 #
# glibc: 2.31                                                                                      #
# jemalloc: 5.2.1-0-gea6b3e973b477b8061e0076bb257dbd7f3faa756                                      #
# Total memory: 31.19 GB                                                                           #
# CPU cores: 12                                                                                    #
#                                                                                                  #
# Plugin Registration Summary:                                                                     #
# No plugins have been registered.                                                                 #
# TOTAL = 0 of 0 plugins successfully registered.                                                  #
#                                                                                                  #
####################################################################################################
2025-07-30 14:22:51.774+07:00 | main | INFO  | Besu | Security Module: localfile
2025-07-30 14:22:51.775+07:00 | main | INFO  | VersionMetadata | Lookup version metadata file in data directory: /home/daffa/Documents/tesis-emisi-karbon/QBFT-Network/Node-3/data
2025-07-30 14:22:51.810+07:00 | main | INFO  | VersionMetadata | Existing version data detected. Besu version besu/v25.4.1/linux-x86_64/oracle-java-21
2025-07-30 14:22:51.832+07:00 | main | INFO  | Besu | Using the native implementation of alt bn128
2025-07-30 14:22:51.849+07:00 | main | INFO  | Besu | Using the native implementation of modexp
2025-07-30 14:22:51.849+07:00 | main | INFO  | Besu | Using the native implementation of the signature algorithm
2025-07-30 14:22:51.851+07:00 | main | INFO  | Besu | Using the native implementation of the blake2bf algorithm
2025-07-30 14:22:51.922+07:00 | main | WARN  | Besu | Forcing price bump for transaction replacement to 0, since min-gas-price is set to 0
2025-07-30 14:22:51.923+07:00 | main | WARN  | Besu | Forcing tx-pool-min-gas-price=0, since it cannot be greater than the value of min-gas-price
2025-07-30 14:22:51.925+07:00 | main | INFO  | KeyPairUtil | Attempting to load public key from /home/daffa/Documents/tesis-emisi-karbon/QBFT-Network/Node-3/data/key
2025-07-30 14:22:51.944+07:00 | main | INFO  | KeyPairUtil | Loaded public key 0x8ea3d6ce0d55934c436bb8d2eec2dad1431ccf5d57e6d052ccf1973e8e46d91ee564a0a3797a914f9cce0cac4a81a047c240625c84373a32e0fcf9a35b9054d2 from /home/daffa/Documents/tesis-emisi-karbon/QBFT-Network/Node-3/data/key
2025-07-30 14:22:51.947+07:00 | main | WARN  | Besu | Privacy is disabled. Cannot use EEA/PRIV API methods when not using Privacy.
2025-07-30 14:22:52.050+07:00 | main | INFO  | ProtocolScheduleBuilder | Protocol schedule created with milestones: [Berlin:0]
2025-07-30 14:22:52.052+07:00 | main | INFO  | DatabaseMetadata | Lookup database metadata file in data directory: /home/daffa/Documents/tesis-emisi-karbon/QBFT-Network/Node-3/data
